id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10 ,gab_feed1.gab_feed1.randomGeneration,gab_feed1.OptimizedMultiplier$OptimizedMultiplierHelper0.getValue,gab_feed1.gab_feed1.main,gab_feed1.gab_feed1.callGenerator0,gab_feed1.OptimizedMultiplier.fastMultiply,gab_feed1.ModPow.modPow,gab_feed1.OptimizedMultiplier.standardMultiply,gab_feed1.KeyExchangeServer.generateMasterSecret,gab_feed1.OptimizedMultiplier$OptimizedMultiplierHelper1.getValue
1,1849,1730,2089,2152,1956,1903,1882,2092,1943,1771,1,1464,1,1,1465,1,1464,1,1464
2,1743,1843,1744,1801,1757,1742,1755,1806,1783,1761,1,1548,1,1,1549,1,1548,1,1548
3,1773,1787,1773,1752,1771,1815,1748,1756,1751,1782,1,1466,1,1,1467,1,1466,1,1466
4,1789,1796,1732,1996,2569,1921,1944,2044,1817,1897,1,1472,1,1,1473,1,1472,1,1472
5,2037,2703,2800,1883,1940,2332,3086,3052,2748,2245,1,1573,1,1,1574,1,1573,1,1573
6,2425,2977,2113,2015,1780,1762,1804,1794,1728,1793,1,1552,1,1,1553,1,1552,1,1552
7,1807,1865,1833,1836,1778,1746,1912,1792,1727,1735,1,1551,1,1,1552,1,1551,1,1551
8,1769,1738,1720,1774,1793,1811,1755,1802,1729,1884,1,1574,1,1,1575,1,1574,1,1574
