id,gab_feed1.gab_feed1.randomGeneration,gab_feed1.OptimizedMultiplier$OptimizedMultiplierHelper0.getValue,gab_feed1.gab_feed1.main,gab_feed1.gab_feed1.callGenerator0,gab_feed1.OptimizedMultiplier.fastMultiply,gab_feed1.ModPow.modPow,gab_feed1.OptimizedMultiplier.standardMultiply,gab_feed1.KeyExchangeServer.generateMasterSecret,gab_feed1.OptimizedMultiplier$OptimizedMultiplierHelper1.getValue
1,1,1464,1,1,1465,1,1464,1,1464
2,1,1548,1,1,1549,1,1548,1,1548
3,1,1466,1,1,1467,1,1466,1,1466
4,1,1472,1,1,1473,1,1472,1,1472
5,1,1573,1,1,1574,1,1573,1,1573
6,1,1552,1,1,1553,1,1552,1,1552
7,1,1551,1,1,1552,1,1551,1,1551
8,1,1574,1,1,1575,1,1574,1,1574
