id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10 
1,1849,1730,2089,2152,1956,1903,1882,2092,1943,1771
2,1743,1843,1744,1801,1757,1742,1755,1806,1783,1761
3,1773,1787,1773,1752,1771,1815,1748,1756,1751,1782
4,1789,1796,1732,1996,2569,1921,1944,2044,1817,1897
5,2037,2703,2800,1883,1940,2332,3086,3052,2748,2245
6,2425,2977,2113,2015,1780,1762,1804,1794,1728,1793
7,1807,1865,1833,1836,1778,1746,1912,1792,1727,1735
8,1769,1738,1720,1774,1793,1811,1755,1802,1729,1884
